Borough,Neighborhood,Latitude,Longitude
Bronx,Co-op City,40.87429419303012,-73.829939108124
Bronx,Fieldston,40.89543742690383,-73.90564259591682
Bronx,Riverdale,40.890834493891305,-73.9125854610857
Bronx,Kingsbridge,40.88168737120521,-73.90281798724605
Manhattan,Marble Hill,40.87655077879964,-73.91065965862981
Bronx,City Island,40.847246704918135,-73.78648845267412
Bronx,Throgs Neck,40.815109258040046,-73.81635002158441
Bronx,Spuyten Duyvil,40.88139497727086,-73.91719048210393
Bronx,Pelham Bay,40.85064140940335,-73.8320737824047
Brooklyn,Bay Ridge,40.625801065010656,-74.03062069353813
Brooklyn,Sunset Park,40.64510294925429,-74.01031618527784
Brooklyn,Greenpoint,40.7302009848647,-73.95424093127394
Brooklyn,Brighton Beach,40.57682506566604,-73.96509448785335
Brooklyn,Sheepshead Bay,40.58689012678384,-73.9431864048298
Brooklyn,Crown Heights,40.67082917695294,-73.94329119073582
Brooklyn,Kensington,40.64238195800353,-73.98042110559473
Brooklyn,Windsor Terrace,40.65694583575104,-73.98007340430172
Brooklyn,Prospect Heights,40.67682226225472,-73.9648592426269
Brooklyn,Williamsburg,40.707144393442505,-73.95811529220926
Brooklyn,Cobble Hill,40.687919722485574,-73.99856139218463
Brooklyn,Carroll Gardens,40.68054023107649,-73.99465372828006
Brooklyn,Red Hook,40.67625323025089,-74.01275897473559
Brooklyn,Gowanus,40.67393114318715,-73.99444087145339
Brooklyn,Park Slope,40.67232052268197,-73.97705030183924
Brooklyn,Canarsie,40.63556432797428,-73.90209269778966
Brooklyn,Flatlands,40.630446043757466,-73.92911302644673
Brooklyn,Coney Island,40.57429256471601,-73.98868295821637
Brooklyn,Borough Park,40.633130512758015,-73.99049823044811
Brooklyn,Midwood,40.62559589869843,-73.95759523489838
Brooklyn,Prospect Park South,40.647008603185185,-73.96261316716048
Brooklyn,Georgetown,40.623845244784185,-73.91607483951323
Brooklyn,East Williamsburg,40.70849241041548,-73.93885815269195
Manhattan,Washington Heights,40.851902525553044,-73.93690027985234
Manhattan,Inwood,40.86768396449915,-73.92121042203897
Manhattan,Hamilton Heights,40.823604284811935,-73.94968791883366
Manhattan,Manhattanville,40.81693442949779,-73.9573853935188
Manhattan,East Harlem,40.79224946663033,-73.94418223148523
Manhattan,Upper West Side,40.787657998534854,-73.97705923630603
Manhattan,Chelsea,40.744034706747975,-74.00311633472813
Manhattan,Morningside Heights,40.807999738165826,-73.96389627905332
Queens,Woodside,40.746349088602216,-73.90184166838284
Queens,Elmhurst,40.74404850512202,-73.88165622288388
Queens,Howard Beach,40.65422527738487,-73.83813764600279
Queens,Corona,40.74238175015667,-73.85682497345258
Queens,Forest Hills,40.72526378216503,-73.84447500788983
Queens,Kew Gardens,40.705179035414794,-73.82981905825703
Queens,Richmond Hill,40.69794731471763,-73.83183321446889
Queens,Flushing,40.76445419697846,-73.83177300329581
Queens,Sunnyside,40.74017628351925,-73.92691617561577
Queens,Maspeth,40.725427374093606,-73.8962171362686
Queens,Ridgewood,40.708323156138576,-73.90143517559589
Queens,Glendale,40.70276242967838,-73.87074167435605
Queens,Rego Park,40.728974094807356,-73.85782686905371
Queens,Woodhaven,40.68988687915789,-73.8581104655432
Queens,Ozone Park,40.680708468265415,-73.84320266173447
Queens,South Ozone Park,40.66854957767195,-73.80986478649041
Queens,Whitestone,40.781290766026935,-73.81420216610863
Queens,Bayside,40.76604063281064,-73.77427363068671
Queens,Little Neck,40.7708261928267,-73.73889775580741
Queens,Douglaston,40.76684609790763,-73.74249820727329
Queens,Bellerose,40.72857318176675,-73.72012814826904
Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566
Queens,Fresh Meadows,40.7343944653313,-73.78271337003264
Queens,Briarwood,40.71093547252271,-73.81174822458634
Queens,Queens Village,40.718893092167356,-73.73871484578423
Queens,Springfield Gardens,40.66623049036858,-73.76042092682287
Queens,Rosedale,40.65981643342808,-73.73526079428278
Queens,Breezy Point,40.55740128845452,-73.92551196994168
Queens,Bay Terrace,40.78284280624555,-73.7768022262158
Queens,Rockaway Beach,40.58280169684559,-73.82236121088752
Queens,Jamaica Estates,40.71680483014613,-73.7872269693666
Queens,Belle Harbor,40.576155565431094,-73.8540175039252
Queens,Rockaway Park,40.58034295646131,-73.84153370226186
Staten Island,St. George,40.6449815710044,-74.07935312512797
Staten Island,New Brighton,40.64061455913511,-74.08701650516626
Staten Island,Stapleton,40.626927625381754,-74.07790192660066
Staten Island,Rosebank,40.61530494652761,-74.06980526716141
Staten Island,West Brighton,40.631878926546065,-74.1071817826561
Staten Island,Grymes Hill,40.624184791313006,-74.08724819983729
Staten Island,Todt Hill,40.59706851814673,-74.1113288180088
Staten Island,Port Richmond,40.63366930554365,-74.12943426797007
Staten Island,Mariner's Harbor,40.63254639048112,-74.15008537046981
Staten Island,Port Ivory,40.63968297845542,-74.17464532993542
Staten Island,Castleton Corners,40.61333593766742,-74.11918058534843
Staten Island,New Springville,40.594252379161695,-74.16496031329827
Staten Island,Travis,40.58631375103281,-74.19073717538116
Staten Island,Oakwood,40.5584622432888,-74.12156593771896
Staten Island,Eltingville,40.542230747450745,-74.1643308041936
Staten Island,Annadale,40.53811417474507,-74.17854866165878
Staten Island,Woodrow,40.541967622888755,-74.20524582480327
Staten Island,Tompkinsville,40.637316067110326,-74.08055351790115
Staten Island,Silver Lake,40.61919310792676,-74.09629029235458
Staten Island,Sunnyside,40.61276015756489,-74.0971255217853
Brooklyn,Ditmas Park,40.64367518334098,-73.9610131246678
Staten Island,Westerleigh,40.62109047275409,-74.13304143951704
Staten Island,Graniteville,40.62017151223189,-74.15315246387762
Staten Island,Arlington,40.63532509911492,-74.16510420241123
Staten Island,Arrochar,40.596312571276734,-74.06712363225573
Staten Island,Grasmere,40.598268359599906,-74.0766743627905
Staten Island,Old Town,40.59632891379513,-74.08751118005578
Staten Island,Dongan Hills,40.58867294819928,-74.0963990531252
Staten Island,Midland Beach,40.573526905742824,-74.09348266303591
Staten Island,Grant City,40.57621558711788,-74.10585598545434
Staten Island,Bay Terrace,40.55398800858462,-74.13916622175769
Staten Island,Huguenot,40.53191192048961,-74.19174105747814
Staten Island,Pleasant Plains,40.52469937611813,-74.21983106616777
Staten Island,Charleston,40.53053148283314,-74.23215775896526
Staten Island,Rossville,40.54940400650072,-74.21572851113952
Staten Island,Arden Heights,40.54928582278321,-74.18588674583894
Staten Island,Greenridge,40.55529523617321,-74.17079414786092
Staten Island,Chelsea,40.594726027462954,-74.18956045519691
Staten Island,Bloomfield,40.60577868452358,-74.18725638381567
Staten Island,Bulls Head,40.6095918004203,-74.15940948657122
Staten Island,Shore Acres,40.60971934079284,-74.0666776606177
Staten Island,Clifton,40.61917845202843,-74.072642445484
Staten Island,Concord,40.6044731896879,-74.08402364740357
Staten Island,Emerson Hill,40.606794394801,-74.09776206972522
Staten Island,Randall Manor,40.63563000681151,-74.09805062373887
Staten Island,Elm Park,40.630146741193826,-74.1418167896889
Brooklyn,Mill Basin,40.61597423962336,-73.91515391550405
Manhattan,Turtle Bay,40.752042369507215,-73.96770824581834
Queens,Sunnyside Gardens,40.74565180608076,-73.91819286431682
Staten Island,Willowbrook,40.603706926273716,-74.13208447484298
Staten Island,Egbertville,40.57911874296122,-74.12727240604946
Queens,Middle Village,40.71641451115819,-73.88114319200605
Staten Island,Prince's Bay,40.526264067348116,-74.20152556457658
Staten Island,Richmond Valley,40.5195414574891,-74.22957080626941
